ID,Language_ID,Parameter_ID,Value
colex-baeg1237,baeg1237,Is_there_colexification?,lexically distinct
colex-bael1237,bael1237,Is_there_colexification?,lexically distinct
colex-baet1237,baet1237,Is_there_colexification?,partial colexification
colex-baha1257,baha1257,Is_there_colexification?,unknown
colex-baho1237,baho1237,Is_there_colexification?,lexically distinct
colex-baik1238,baik1238,Is_there_colexification?,unknown
colex-baki1244,baki1244,Is_there_colexification?,partial colexification
colex-baku1263,baku1263,Is_there_colexification?,unknown
colex-bala1310,bala1310,Is_there_colexification?,lexically distinct
colex-bala1311,bala1311,Is_there_colexification?,unknown
colex-bala1314,bala1314,Is_there_colexification?,unknown
colex-bala1315,bala1315,Is_there_colexification?,unknown
colex-bala1316,bala1316,Is_there_colexification?,lexically distinct
colex-bali1278,bali1278,Is_there_colexification?,full colexification
colex-bali1279,bali1279,Is_there_colexification?,unknown
colex-bali1287,bali1287,Is_there_colexification?,unknown
colex-balu1257,balu1257,Is_there_colexification?,lexically distinct
colex-bamb1270,bamb1270,Is_there_colexification?,unknown
colex-bana1288,bana1288,Is_there_colexification?,unknown
colex-band1353,band1353,Is_there_colexification?,unknown
colex-band1355,band1355,Is_there_colexification?,unknown
colex-bang1365,bang1365,Is_there_colexification?,lexically distinct
colex-bang1368,bang1368,Is_there_colexification?,full colexification
colex-banj1239,banj1239,Is_there_colexification?,lexically distinct
colex-bann1247,bann1247,Is_there_colexification?,lexically distinct
colex-bant1286,bant1286,Is_there_colexification?,full colexification
colex-bant1288,bant1288,Is_there_colexification?,lexically distinct
colex-bant1293,bant1293,Is_there_colexification?,unknown
colex-bara1367,bara1367,Is_there_colexification?,unknown
colex-bara1369,bara1369,Is_there_colexification?,unknown
colex-bara1370,bara1370,Is_there_colexification?,unknown
colex-bara1371,bara1371,Is_there_colexification?,unknown
colex-bari1286,bari1286,Is_there_colexification?,lexically distinct
colex-baro1253,baro1253,Is_there_colexification?,lexically distinct
colex-basa1286,basa1286,Is_there_colexification?,unknown
colex-basa1287,basa1287,Is_there_colexification?,full colexification
colex-bata1288,bata1288,Is_there_colexification?,unknown
colex-bata1289,bata1289,Is_there_colexification?,lexically distinct
colex-bata1290,bata1290,Is_there_colexification?,lexically distinct
colex-bata1291,bata1291,Is_there_colexification?,lexically distinct
colex-bata1292,bata1292,Is_there_colexification?,unknown
colex-bata1293,bata1293,Is_there_colexification?,lexically distinct
colex-bata1294,bata1294,Is_there_colexification?,unknown
colex-bata1295,bata1295,Is_there_colexification?,unknown
colex-bata1297,bata1297,Is_there_colexification?,unknown
colex-bata1298,bata1298,Is_there_colexification?,lexically distinct
colex-bata1301,bata1301,Is_there_colexification?,partial colexification
colex-bati1253,bati1253,Is_there_colexification?,unknown
colex-batu1258,batu1258,Is_there_colexification?,full colexification
colex-batu1260,batu1260,Is_there_colexification?,unknown
colex-baub1235,baub1235,Is_there_colexification?,lexically distinct
colex-baur1252,baur1252,Is_there_colexification?,full colexification
colex-bayb1234,bayb1234,Is_there_colexification?,unknown
colex-bebe1252,bebe1252,Is_there_colexification?,lexically distinct
colex-bedo1237,bedo1237,Is_there_colexification?,unknown
colex-beka1241,beka1241,Is_there_colexification?,lexically distinct
colex-bela1260,bela1260,Is_there_colexification?,lexically distinct
colex-beng1287,beng1287,Is_there_colexification?,unknown
colex-bent1237,bent1237,Is_there_colexification?,unknown
colex-beny1237,beny1237,Is_there_colexification?,unknown
colex-bera1262,bera1262,Is_there_colexification?,unknown
colex-beso1237,beso1237,Is_there_colexification?,unknown
colex-beta1252,beta1252,Is_there_colexification?,lexically distinct
colex-biak1248,biak1248,Is_there_colexification?,lexically distinct
colex-biat1246,biat1246,Is_there_colexification?,unknown
colex-biem1237,biem1237,Is_there_colexification?,lexically distinct
colex-bier1244,bier1244,Is_there_colexification?,full colexification
colex-bier1246,bier1246,Is_there_colexification?,partial colexification
colex-biga1238,biga1238,Is_there_colexification?,unknown
colex-bign1238,bign1238,Is_there_colexification?,partial colexification
colex-biha1246,biha1246,Is_there_colexification?,unknown
colex-bilb1241,bilb1241,Is_there_colexification?,partial colexification
colex-bilb1242,bilb1242,Is_there_colexification?,unknown
colex-bilu1244,bilu1244,Is_there_colexification?,lexically distinct
colex-bima1247,bima1247,Is_there_colexification?,lexically distinct
colex-bina1271,bina1271,Is_there_colexification?,unknown
colex-bino1237,bino1237,Is_there_colexification?,lexically distinct
colex-bint1245,bint1245,Is_there_colexification?,unknown
colex-bint1246,bint1246,Is_there_colexification?,lexically distinct
colex-binu1244,binu1244,Is_there_colexification?,partial colexification
colex-bipi1237,bipi1237,Is_there_colexification?,partial colexification
colex-bira1254,bira1254,Is_there_colexification?,full colexification
colex-blab1237,blab1237,Is_there_colexification?,lexically distinct
colex-boan1242,boan1242,Is_there_colexification?,unknown
colex-boan1243,boan1243,Is_there_colexification?,unknown
colex-bobo1254,bobo1254,Is_there_colexification?,lexically distinct
colex-bobo1255,bobo1255,Is_there_colexification?,unknown
colex-bola1250,bola1250,Is_there_colexification?,full colexification
colex-bola1252,bola1252,Is_there_colexification?,unknown
colex-boli1256,boli1256,Is_there_colexification?,lexically distinct
colex-bolo1268,bolo1268,Is_there_colexification?,unknown
colex-bone1254,bone1254,Is_there_colexification?,full colexification
colex-bong1287,bong1287,Is_there_colexification?,unknown
colex-bong1289,bong1289,Is_there_colexification?,lexically distinct
colex-book1241,book1241,Is_there_colexification?,unknown
colex-bose1237,bose1237,Is_there_colexification?,unknown
colex-boto1242,boto1242,Is_there_colexification?,lexically distinct
colex-bowa1234,bowa1234,Is_there_colexification?,lexically distinct
colex-broo1239,broo1239,Is_there_colexification?,unknown
colex-brun1242,brun1242,Is_there_colexification?,lexically distinct
colex-brun1245,brun1245,Is_there_colexification?,unknown
colex-budi1249,budi1249,Is_there_colexification?,unknown
colex-budo1241,budo1241,Is_there_colexification?,unknown
colex-buga1250,buga1250,Is_there_colexification?,lexically distinct
colex-bugh1239,bugh1239,Is_there_colexification?,full colexification
colex-bugi1244,bugi1244,Is_there_colexification?,full colexification
colex-buhi1245,buhi1245,Is_there_colexification?,lexically distinct
colex-buhu1237,buhu1237,Is_there_colexification?,lexically distinct
colex-buka1257,buka1257,Is_there_colexification?,unknown
colex-buka1261,buka1261,Is_there_colexification?,lexically distinct
colex-buki1247,buki1247,Is_there_colexification?,unknown
colex-buki1248,buki1248,Is_there_colexification?,unknown
colex-buli1255,buli1255,Is_there_colexification?,lexically distinct
colex-bulu1253,bulu1253,Is_there_colexification?,full colexification
colex-buna1276,buna1276,Is_there_colexification?,full colexification
colex-bung1269,bung1269,Is_there_colexification?,full colexification
colex-bunu1267,bunu1267,Is_there_colexification?,full colexification
colex-buol1237,buol1237,Is_there_colexification?,full colexification
colex-burm1263,burm1263,Is_there_colexification?,lexically distinct
colex-buru1303,buru1303,Is_there_colexification?,lexically distinct
colex-buru1304,buru1304,Is_there_colexification?,unknown
colex-busa1254,busa1254,Is_there_colexification?,unknown
colex-busa1255,busa1255,Is_there_colexification?,unknown
colex-bush1250,bush1250,Is_there_colexification?,unknown
colex-buso1238,buso1238,Is_there_colexification?,full colexification
colex-butb1235,butb1235,Is_there_colexification?,unknown
colex-butm1237,butm1237,Is_there_colexification?,lexically distinct
colex-butu1244,butu1244,Is_there_colexification?,partial colexification
colex-bwai1242,bwai1242,Is_there_colexification?,partial colexification
colex-bwan1241,bwan1241,Is_there_colexification?,lexically distinct
colex-bwat1240,bwat1240,Is_there_colexification?,lexically distinct
colex-bwen1239,bwen1239,Is_there_colexification?,lexically distinct
colex-caac1237,caac1237,Is_there_colexification?,lexically distinct
colex-cacg1235,cacg1235,Is_there_colexification?,unknown
colex-cala1258,cala1258,Is_there_colexification?,partial colexification
colex-calu1238,calu1238,Is_there_colexification?,full colexification
colex-cama1250,cama1250,Is_there_colexification?,partial colexification
colex-camp1262,camp1262,Is_there_colexification?,unknown
colex-capi1239,capi1239,Is_there_colexification?,lexically distinct
colex-cari1276,cari1276,Is_there_colexification?,unknown
colex-caro1242,caro1242,Is_there_colexification?,lexically distinct
colex-casi1235,casi1235,Is_there_colexification?,lexically distinct
colex-cebu1242,cebu1242,Is_there_colexification?,lexically distinct
colex-cemu1238,cemu1238,Is_there_colexification?,lexically distinct
colex-cent2053,cent2053,Is_there_colexification?,lexically distinct
colex-cent2058,cent2058,Is_there_colexification?,full colexification
colex-cent2072,cent2072,Is_there_colexification?,partial colexification
colex-cent2084,cent2084,Is_there_colexification?,lexically distinct
colex-cent2087,cent2087,Is_there_colexification?,lexically distinct
colex-cent2089,cent2089,Is_there_colexification?,lexically distinct
colex-cent2090,cent2090,Is_there_colexification?,partial colexification
colex-cent2091,cent2091,Is_there_colexification?,unknown
colex-cent2092,cent2092,Is_there_colexification?,lexically distinct
colex-cent2098,cent2098,Is_there_colexification?,unknown
colex-cent2100,cent2100,Is_there_colexification?,lexically distinct
colex-cent2101,cent2101,Is_there_colexification?,lexically distinct
colex-cent2292,cent2292,Is_there_colexification?,full colexification
colex-cham1312,cham1312,Is_there_colexification?,lexically distinct
colex-chek1238,chek1238,Is_there_colexification?,lexically distinct
colex-chru1239,chru1239,Is_there_colexification?,lexically distinct
colex-chuu1238,chuu1238,Is_there_colexification?,lexically distinct
colex-ciac1237,ciac1237,Is_there_colexification?,full colexification
colex-cina1236,cina1236,Is_there_colexification?,unknown
colex-coas1295,coas1295,Is_there_colexification?,unknown
colex-coco1260,coco1260,Is_there_colexification?,unknown
colex-coll1240,coll1240,Is_there_colexification?,unknown
colex-cota1241,cota1241,Is_there_colexification?,lexically distinct
colex-cuyo1237,cuyo1237,Is_there_colexification?,full colexification
colex-daak1235,daak1235,Is_there_colexification?,unknown
colex-daii1240,daii1240,Is_there_colexification?,lexically distinct
colex-daka1243,daka1243,Is_there_colexification?,lexically distinct
colex-dakk1238,dakk1238,Is_there_colexification?,unknown
colex-dalk1234,dalk1234,Is_there_colexification?,unknown
colex-damb1246,damb1246,Is_there_colexification?,lexically distinct
colex-damp1237,damp1237,Is_there_colexification?,unknown
colex-daro1239,daro1239,Is_there_colexification?,unknown
colex-dava1245,dava1245,Is_there_colexification?,unknown
colex-dawa1242,dawa1242,Is_there_colexification?,partial colexification
colex-dawe1237,dawe1237,Is_there_colexification?,lexically distinct
colex-dehu1237,dehu1237,Is_there_colexification?,lexically distinct
colex-dela1251,dela1251,Is_there_colexification?,unknown
colex-deng1253,deng1253,Is_there_colexification?,unknown
colex-dhao1237,dhao1237,Is_there_colexification?,unknown
colex-diba1242,diba1242,Is_there_colexification?,lexically distinct
colex-dica1235,dica1235,Is_there_colexification?,unknown
colex-diod1237,diod1237,Is_there_colexification?,partial colexification
colex-dixo1238,dixo1238,Is_there_colexification?,lexically distinct
colex-dobe1238,dobe1238,Is_there_colexification?,full colexification
colex-dobu1241,dobu1241,Is_there_colexification?,full colexification
colex-doga1238,doga1238,Is_there_colexification?,unknown
colex-dond1249,dond1249,Is_there_colexification?,unknown
colex-dori1246,dori1246,Is_there_colexification?,lexically distinct
colex-duan1242,duan1242,Is_there_colexification?,unknown
colex-duau1237,duau1237,Is_there_colexification?,unknown
colex-duke1237,duke1237,Is_there_colexification?,lexically distinct
colex-dumb1241,dumb1241,Is_there_colexification?,lexically distinct
colex-dump1242,dump1242,Is_there_colexification?,unknown
colex-dupa1235,dupa1235,Is_there_colexification?,lexically distinct
colex-duri1242,duri1242,Is_there_colexification?,unknown
colex-dusn1237,dusn1237,Is_there_colexification?,unknown
colex-dusu1267,dusu1267,Is_there_colexification?,unknown
colex-dusu1269,dusu1269,Is_there_colexification?,unknown
colex-dusu1271,dusu1271,Is_there_colexification?,unknown
colex-duwe1237,duwe1237,Is_there_colexification?,partial colexification
colex-east2440,east2440,Is_there_colexification?,lexically distinct
colex-east2443,east2443,Is_there_colexification?,full colexification
colex-east2447,east2447,Is_there_colexification?,full colexification
colex-east2462,east2462,Is_there_colexification?,lexically distinct
colex-east2465,east2465,Is_there_colexification?,unknown
colex-east2472,east2472,Is_there_colexification?,partial colexification
colex-east2482,east2482,Is_there_colexification?,unknown
colex-east2485,east2485,Is_there_colexification?,unknown
colex-east2486,east2486,Is_there_colexification?,unknown
colex-east2563,east2563,Is_there_colexification?,lexically distinct
colex-east2694,east2694,Is_there_colexification?,unknown
colex-eluu1241,eluu1241,Is_there_colexification?,unknown
colex-emae1237,emae1237,Is_there_colexification?,full colexification
colex-emba1238,emba1238,Is_there_colexification?,lexically distinct
colex-empl1237,empl1237,Is_there_colexification?,lexically distinct
colex-ende1246,ende1246,Is_there_colexification?,full colexification
colex-engg1245,engg1245,Is_there_colexification?,lexically distinct
colex-enre1239,enre1239,Is_there_colexification?,unknown
colex-eree1241,eree1241,Is_there_colexification?,unknown
colex-erok1237,erok1237,Is_there_colexification?,unknown
colex-eton1255,eton1255,Is_there_colexification?,lexically distinct
colex-faga1239,faga1239,Is_there_colexification?,full colexification
colex-fair1238,fair1238,Is_there_colexification?,unknown
colex-fata1245,fata1245,Is_there_colexification?,lexically distinct
colex-fiji1243,fiji1243,Is_there_colexification?,lexically distinct
colex-fili1244,fili1244,Is_there_colexification?,unknown
colex-fina1242,fina1242,Is_there_colexification?,unknown
colex-ford1242,ford1242,Is_there_colexification?,full colexification
colex-fort1240,fort1240,Is_there_colexification?,full colexification
colex-futu1245,futu1245,Is_there_colexification?,full colexification
colex-fwai1237,fwai1237,Is_there_colexification?,lexically distinct
colex-gada1258,gada1258,Is_there_colexification?,unknown
colex-gadd1244,gadd1244,Is_there_colexification?,lexically distinct
colex-gale1257,gale1257,Is_there_colexification?,unknown
colex-galo1243,galo1243,Is_there_colexification?,full colexification
colex-gana1277,gana1277,Is_there_colexification?,unknown
colex-gane1237,gane1237,Is_there_colexification?,lexically distinct
colex-gaoo1237,gaoo1237,Is_there_colexification?,lexically distinct
colex-gapa1238,gapa1238,Is_there_colexification?,partial colexification
colex-gayo1244,gayo1244,Is_there_colexification?,lexically distinct
colex-gebe1237,gebe1237,Is_there_colexification?,lexically distinct
colex-geda1237,geda1237,Is_there_colexification?,partial colexification
colex-gela1263,gela1263,Is_there_colexification?,full colexification
colex-gese1240,gese1240,Is_there_colexification?,lexically distinct
colex-ghan1242,ghan1242,Is_there_colexification?,full colexification
colex-ghar1239,ghar1239,Is_there_colexification?,lexically distinct
colex-ghay1237,ghay1237,Is_there_colexification?,lexically distinct
colex-gian1241,gian1241,Is_there_colexification?,full colexification
colex-gilb1244,gilb1244,Is_there_colexification?,lexically distinct
colex-gimi1242,gimi1242,Is_there_colexification?,lexically distinct
colex-gitu1237,gitu1237,Is_there_colexification?,full colexification
colex-gone1237,gone1237,Is_there_colexification?,unknown
colex-gora1261,gora1261,Is_there_colexification?,unknown
colex-gora1262,gora1262,Is_there_colexification?,lexically distinct
colex-goro1259,goro1259,Is_there_colexification?,lexically distinct
colex-gula1270,gula1270,Is_there_colexification?,lexically distinct
colex-guma1254,guma1254,Is_there_colexification?,partial colexification
colex-gura1254,gura1254,Is_there_colexification?,unknown
colex-gwed1239,gwed1239,Is_there_colexification?,partial colexification
colex-habu1241,habu1241,Is_there_colexification?,unknown
colex-haek1239,haek1239,Is_there_colexification?,lexically distinct
colex-haho1237,haho1237,Is_there_colexification?,unknown
colex-haig1237,haig1237,Is_there_colexification?,partial colexification
colex-haji1235,haji1235,Is_there_colexification?,unknown
colex-hako1237,hako1237,Is_there_colexification?,partial colexification
colex-hali1244,hali1244,Is_there_colexification?,full colexification
colex-hano1246,hano1246,Is_there_colexification?,full colexification
colex-hanu1241,hanu1241,Is_there_colexification?,lexically distinct
colex-haro1237,haro1237,Is_there_colexification?,unknown
colex-haru1244,haru1244,Is_there_colexification?,unknown
colex-have1241,have1241,Is_there_colexification?,lexically distinct
colex-hawa1245,hawa1245,Is_there_colexification?,full colexification
colex-helo1243,helo1243,Is_there_colexification?,unknown
colex-herm1237,herm1237,Is_there_colexification?,lexically distinct
colex-higa1237,higa1237,Is_there_colexification?,unknown
colex-high1275,high1275,Is_there_colexification?,unknown
colex-hili1240,hili1240,Is_there_colexification?,lexically distinct
colex-hitu1239,hitu1239,Is_there_colexification?,full colexification
colex-hiww1237,hiww1237,Is_there_colexification?,lexically distinct
colex-hmwa1243,hmwa1243,Is_there_colexification?,lexically distinct
colex-hoav1238,hoav1238,Is_there_colexification?,lexically distinct
colex-hote1245,hote1245,Is_there_colexification?,partial colexification
colex-hoti1237,hoti1237,Is_there_colexification?,unknown
colex-hovo1239,hovo1239,Is_there_colexification?,unknown
colex-huau1237,huau1237,Is_there_colexification?,unknown
colex-huku1237,huku1237,Is_there_colexification?,unknown
colex-hula1239,hula1239,Is_there_colexification?,lexically distinct
colex-hulu1246,hulu1246,Is_there_colexification?,unknown
colex-iaai1238,iaai1238,Is_there_colexification?,lexically distinct
colex-iama1237,iama1237,Is_there_colexification?,partial colexification
colex-ibal1244,ibal1244,Is_there_colexification?,lexically distinct
colex-iban1264,iban1264,Is_there_colexification?,lexically distinct
colex-iban1267,iban1267,Is_there_colexification?,full colexification
colex-ibat1238,ibat1238,Is_there_colexification?,lexically distinct
colex-idaa1241,idaa1241,Is_there_colexification?,lexically distinct
colex-idat1237,idat1237,Is_there_colexification?,full colexification
colex-idun1242,idun1242,Is_there_colexification?,partial colexification
colex-ifoo1237,ifoo1237,Is_there_colexification?,unknown
colex-ilea1237,ilea1237,Is_there_colexification?,unknown
colex-ilia1236,ilia1236,Is_there_colexification?,lexically distinct
colex-iliu1237,iliu1237,Is_there_colexification?,partial colexification
colex-ilok1237,ilok1237,Is_there_colexification?,lexically distinct
colex-ilon1239,ilon1239,Is_there_colexification?,lexically distinct
colex-imro1237,imro1237,Is_there_colexification?,partial colexification
colex-inab1237,inab1237,Is_there_colexification?,lexically distinct
colex-indo1316,indo1316,Is_there_colexification?,lexically distinct
colex-indo1317,indo1317,Is_there_colexification?,lexically distinct
colex-inla1260,inla1260,Is_there_colexification?,unknown
colex-inon1237,inon1237,Is_there_colexification?,full colexification
colex-iran1262,iran1262,Is_there_colexification?,full colexification
colex-irar1238,irar1238,Is_there_colexification?,partial colexification
colex-iray1237,iray1237,Is_there_colexification?,lexically distinct
colex-ires1239,ires1239,Is_there_colexification?,unknown
colex-irig1242,irig1242,Is_there_colexification?,lexically distinct
colex-isar1235,isar1235,Is_there_colexification?,unknown
colex-isin1239,isin1239,Is_there_colexification?,full colexification
colex-isna1241,isna1241,Is_there_colexification?,lexically distinct
colex-itaw1240,itaw1240,Is_there_colexification?,lexically distinct
colex-ivat1242,ivat1242,Is_there_colexification?,full colexification
colex-iwak1237,iwak1237,Is_there_colexification?,unknown
colex-iwal1237,iwal1237,Is_there_colexification?,partial colexification
colex-jaku1244,jaku1244,Is_there_colexification?,unknown
colex-jamb1236,jamb1236,Is_there_colexification?,lexically distinct
colex-jang1257,jang1257,Is_there_colexification?,unknown
colex-jara1266,jara1266,Is_there_colexification?,lexically distinct
colex-java1254,java1254,Is_there_colexification?,lexically distinct
colex-jawe1237,jawe1237,Is_there_colexification?,lexically distinct
colex-kada1286,kada1286,Is_there_colexification?,unknown
colex-kaga1255,kaga1255,Is_there_colexification?,unknown
colex-kaga1256,kaga1256,Is_there_colexification?,lexically distinct
colex-kahu1241,kahu1241,Is_there_colexification?,lexically distinct
colex-kaib1244,kaib1244,Is_there_colexification?,unknown
colex-kaid1239,kaid1239,Is_there_colexification?,full colexification
colex-kaie1237,kaie1237,Is_there_colexification?,lexically distinct
colex-kaim1241,kaim1241,Is_there_colexification?,lexically distinct
colex-kair1263,kair1263,Is_there_colexification?,lexically distinct
colex-kair1265,kair1265,Is_there_colexification?,unknown
colex-kaja1250,kaja1250,Is_there_colexification?,unknown
colex-kaka1267,kaka1267,Is_there_colexification?,partial colexification
colex-kala1388,kala1388,Is_there_colexification?,lexically distinct
colex-kala1391,kala1391,Is_there_colexification?,unknown
colex-kala1394,kala1394,Is_there_colexification?,full colexification
colex-kalu1247,kalu1247,Is_there_colexification?,unknown
colex-kama1362,kama1362,Is_there_colexification?,unknown
colex-kama1363,kama1363,Is_there_colexification?,partial colexification
colex-kama1364,kama1364,Is_there_colexification?,full colexification
colex-kamb1299,kamb1299,Is_there_colexification?,full colexification
colex-kana1286,kana1286,Is_there_colexification?,lexically distinct
colex-kand1301,kand1301,Is_there_colexification?,lexically distinct
colex-kang1289,kang1289,Is_there_colexification?,unknown
colex-kani1281,kani1281,Is_there_colexification?,partial colexification
colex-kani1282,kani1282,Is_there_colexification?,lexically distinct
colex-kani1283,kani1283,Is_there_colexification?,unknown
colex-kank1243,kank1243,Is_there_colexification?,lexically distinct
colex-kano1244,kano1244,Is_there_colexification?,unknown
colex-kapi1249,kapi1249,Is_there_colexification?,full colexification
colex-kapi1250,kapi1250,Is_there_colexification?,unknown
colex-kapp1237,kapp1237,Is_there_colexification?,lexically distinct
colex-kapt1235,kapt1235,Is_there_colexification?,unknown
colex-kara1486,kara1486,Is_there_colexification?,partial colexification
colex-kara1487,kara1487,Is_there_colexification?,unknown
colex-kara1489,kara1489,Is_there_colexification?,unknown
colex-kare1339,kare1339,Is_there_colexification?,unknown
colex-karn1252,karn1252,Is_there_colexification?,unknown
colex-karo1298,karo1298,Is_there_colexification?,unknown
colex-karo1299,karo1299,Is_there_colexification?,unknown
colex-kasi1256,kasi1256,Is_there_colexification?,unknown
colex-katb1237,katb1237,Is_there_colexification?,lexically distinct
colex-kaul1240,kaul1240,Is_there_colexification?,lexically distinct
colex-kaur1269,kaur1269,Is_there_colexification?,unknown
colex-kava1241,kava1241,Is_there_colexification?,full colexification
colex-kawe1240,kawe1240,Is_there_colexification?,unknown
colex-kawi1241,kawi1241,Is_there_colexification?,unknown
colex-kaya1324,kaya1324,Is_there_colexification?,unknown
colex-kaya1325,kaya1325,Is_there_colexification?,unknown
colex-kaye1241,kaye1241,Is_there_colexification?,unknown
colex-kayu1243,kayu1243,Is_there_colexification?,lexically distinct
colex-kazu1245,kazu1245,Is_there_colexification?,lexically distinct
colex-keap1239,keap1239,Is_there_colexification?,lexically distinct
colex-keda1251,keda1251,Is_there_colexification?,unknown
colex-keda1252,keda1252,Is_there_colexification?,lexically distinct
colex-keii1239,keii1239,Is_there_colexification?,partial colexification
colex-kela1255,kela1255,Is_there_colexification?,lexically distinct
colex-kela1258,kela1258,Is_there_colexification?,lexically distinct
colex-kele1258,kele1258,Is_there_colexification?,lexically distinct
colex-kele1259,kele1259,Is_there_colexification?,lexically distinct
colex-kema1243,kema1243,Is_there_colexification?,full colexification
colex-kemb1249,kemb1249,Is_there_colexification?,unknown
colex-kend1254,kend1254,Is_there_colexification?,unknown
colex-keni1248,keni1248,Is_there_colexification?,unknown
colex-keni1249,keni1249,Is_there_colexification?,unknown
colex-keoo1238,keoo1238,Is_there_colexification?,full colexification
colex-kepo1237,kepo1237,Is_there_colexification?,unknown
colex-kere1285,kere1285,Is_there_colexification?,unknown
